MMSI,STATUS,STATION_ID,SPEED,LON,LAT,COURSE,HEADING,ROT,2013-07-01 17:43:00
247039300,0,142,153,15.50092,42.69438,142,142,NULL,2013-07-01 17:27:00
247039300,0,144,156,14.39683,43.78795,142,142,NULL,2013-07-01 15:09:00
247039300,0,145,154,15.23737,42.95167,141,144,NULL,2013-07-01 15:07:00
247039300,0,146,151,15.86083,42.38267,142,143,NULL,2013-07-01 15:10:00
247039300,0,148,160,17.80638,40.85443,123,123,NULL,2013-07-01 17:38:00
247039300,0,149,160,18.87053,39.83693,149,149,NULL,2013-07-01 11:24:00
247039300,0,150,154,15.93938,42.30623,142,143,NULL,2013-07-01 03:22:00
247039300,0,151,156,16.67823,41.42547,150,150,NULL,2013-07-01 16:14:00
247039300,0,152,158,16.4852,41.68172,150,150,NULL,2013-07-01 17:43:00
247039300,0,153,159,18.11372,40.68857,142,144,NULL,2013-07-01 07:51:00
247039300,0,154,151,15.50867,42.68705,140,140,NULL,2013-07-01 17:42:00
247039300,0,155,153,14.4454,43.74285,140,142,NULL,2013-07-01 17:35:00
247039300,0,157,155,16.08312,42.16388,142,143,NULL,2013-06-30 23:45:00
247039300,0,159,161,18.23445,40.5644,142,143,NULL,2013-07-01 17:32:00
247039300,0,160,156,16.73858,41.3837,123,124,NULL,2013-07-01 17:44:00
247039300,0,161,154,16.8844,41.3089,125,124,NULL,2013-07-01 17:40:00
247039300,0,163,156,15.99275,42.25414,142,143,NULL,2013-07-01 15:19:00
247039300,0,164,160,17.72275,40.89683,123,123,NULL,2013-07-01 13:16:00
247039300,0,165,155,16.67485,41.43,150,150,NULL,2013-07-01 02:46:00
247039300,0,166,154,16.71668,41.39483,124,124,NULL,2013-07-01 07:51:00
247039300,0,167,155,16.56723,41.57442,150,150,NULL,2013-07-01 04:05:00
247039300,0,168,158,16.28197,41.94832,149,150,NULL,2013-07-01 17:35:00
247039300,0,169,157,17.05113,41.2212,124,123,NULL,2013-07-01 17:35:00
247039300,0,170,162,18.27222,40.5266,142,143,NULL,2013-07-01 17:37:00
247039300,0,171,154,15.66248,42.56742,139,140,NULL,2013-07-01 13:03:00
247039300,0,172,161,17.41972,41.0462,122,122,NULL,2013-07-01 17:38:00
247039300,0,173,160,17.48892,41.01272,122,122,NULL,2013-07-01 17:41:00
247039300,0,174,155,15.3937,42.79998,143,144,NULL,2013-07-01 17:42:00
247039300,0,175,154,15.57097,42.63882,135,137,NULL,2013-07-01 16:57:00
247039300,0,176,161,18.29328,40.50535,143,143,NULL,2013-07-01 07:51:00
247039300,0,177,161,16.36322,41.84377,150,150,NULL,2013-07-01 17:44:00
247039300,0,178,153,15.71698,42.51945,140,141,NULL,2013-07-01 17:43:00
247039300,0,179,159,17.91452,40.80042,122,123,NULL,2013-07-01 17:37:00
247039300,0,180,154,16.58632,41.54885,150,150,NULL,2013-07-01 17:39:00
247039300,0,181,153,15.6168,42.60367,135,137,NULL,2013-07-01 17:40:00
247039300,0,182,161,17.83338,40.841,123,123,NULL,2013-07-01 15:15:00
247039300,0,183,157,14.38722,43.79698,141,142,NULL,2013-07-01 17:35:00
247039300,0,186,152,15.79347,42.44795,141,143,NULL,2013-07-01 16:50:00
247039300,0,187,159,18.0111,40.7522,123,123,NULL,2013-07-01 17:42:00
247039300,0,188,157,14.26958,43.90048,138,138,NULL,2013-07-01 17:38:00
247039300,0,189,160,17.61528,40.95092,123,123,NULL,2013-07-01 17:37:00
247039300,0,190,156,16.02815,42.21892,143,143,NULL,2013-07-01 17:27:00
247039300,0,191,159,16.42225,41.76425,150,150,NULL,2013-07-01 17:37:00
247039300,0,192,154,16.59942,41.53119,150,150,NULL,2013-07-01 16:32:00
247039300,0,193,169,15.45485,42.73822,144,144,NULL,2013-07-01 15:45:00
247039300,0,194,154,15.72932,42.50817,142,142,NULL,2013-07-01 14:45:00
247039300,0,195,153,15.90815,42.3367,142,143,NULL,2013-07-01 17:36:00
247039300,0,196,155,16.94138,41.27825,125,124,NULL,2013-07-01 17:41:00
247039300,0,197,160,16.35317,41.857,150,150,NULL,2013-07-01 16:03:00
247039300,0,199,155,16.66465,41.4436,150,150,NULL,2013-07-01 12:30:00
247039300,0,201,153,16.70633,41.40027,124,124,NULL,2013-07-01 15:30:00
247039300,0,202,152,15.82583,42.41677,143,143,NULL,2013-07-01 12:08:00
247039300,0,203,157,14.2647,43.90442,138,138,NULL,2013-07-01 17:34:00
247039300,0,204,157,16.2957,41.93085,149,150,NULL,2013-07-01 17:43:00
247039300,0,205,155,15.38157,42.81203,143,144,NULL,2013-07-01 17:09:00
247039300,0,206,157,14.37455,43.80867,141,142,NULL,2013-07-01 17:43:00
247039300,0,208,158,16.50133,41.6602,150,150,NULL,2013-07-01 10:45:00
247039300,0,209,155,13.95497,44.17392,145,145,NULL,2013-07-01 17:40:00
247039300,0,211,159,17.28027,41.10807,121,120,NULL,2013-07-01 03:46:00
247039300,0,212,151,15.89298,42.3514,142,143,NULL,2013-07-01 17:01:00
247039300,0,213,157,13.87298,44.25807,146,147,NULL,2013-07-01 16:33:00
247039300,0,214,156,13.87682,44.25417,144,145,NULL,2013-07-01 17:33:00
247039300,0,215,155,15.5981,42.61788,136,137,NULL,2013-07-01 17:32:00
247039300,0,216,159,17.72805,40.89415,123,123,NULL,2013-07-01 17:33:00
247039300,0,217,159,17.24078,41.1264,123,123,NULL,2013-07-01 13:03:00
247039300,0,218,150,19.07212,39.59777,146,149,NULL,2013-07-01 15:08:00
247039300,0,219,154,15.7413,42.49705,141,142,NULL,2013-07-01 17:43:00
247039300,0,220,161,16.33672,41.87845,150,150,NULL,2013-07-01 16:47:00
247039300,0,221,153,16.14368,42.10643,142,143,NULL,2013-07-01 15:46:00
247039300,0,222,157,14.32957,43.85057,141,142,NULL,2013-07-01 17:40:00
247039300,0,223,157,16.4823,41.68553,150,150,NULL,2013-07-01 15:07:00
247039300,0,224,155,14.05408,44.07409,138,138,NULL,2013-07-01 16:08:00
247039300,0,225,161,17.64612,40.93542,123,123,NULL,2013-07-01 15:37:00
247039300,0,226,157,16.75528,41.37527,123,124,NULL,2013-07-01 17:38:00
247039300,0,228,155,15.30738,42.88495,142,144,NULL,2013-07-01 13:16:00
247039300,0,229,154,16.11093,42.13737,141,143,NULL,2013-07-01 15:05:00
247039300,0,230,158,17.16718,41.16285,122,123,NULL,2013-07-01 02:51:00
247039300,0,231,156,15.20327,42.98373,142,145,NULL,2013-07-01 15:15:00
247039300,0,232,166,18.17658,40.62403,144,144,NULL,2013-07-01 17:35:00
247039300,0,234,150,19.04332,39.63082,145,149,NULL,2013-07-01 17:42:00
247039300,0,236,154,14.45058,43.73825,141,142,NULL,2013-07-01 17:37:00
247039300,0,238,161,17.4366,41.03788,123,122,NULL,2013-07-01 17:34:00
247039300,0,239,154,16.10307,42.14478,141,143,NULL,2013-07-01 17:35:00
247039300,0,240,160,16.41938,41.76812,150,150,NULL,2013-07-01 17:35:00
247039300,0,241,157,14.3242,43.85538,140,141,NULL,2013-07-01 17:37:00
247039300,0,242,160,18.0431,40.73602,123,123,NULL,2013-07-01 17:40:00
247039300,0,243,156,16.8203,41.34252,124,124,NULL,2013-07-01 17:40:00
247039300,0,244,157,14.2319,43.9308,138,138,NULL,2013-07-01 17:40:00
247039300,0,246,167,18.16875,40.6324,144,144,NULL,2013-07-01 17:38:00
247039300,0,247,150,19.05097,39.62217,145,149,NULL,2013-07-01 03:17:00
247039300,0,248,160,17.30858,41.0953,120,120,NULL,2013-07-01 17:43:00
247039300,0,249,155,15.33453,42.85833,143,144,NULL,2013-07-01 14:01:00
